Name, Total Kills, Headshot Percentage, Total Deaths, Kill/Death Ratio,Damage Per Round, Grenade Damage Per Round, Maps Played, Rounds Played, Kills Per Round, Assists Per Round,Deaths Per Round, Saved By Teamates Per Round, Saved Teamates Per Round, KAST, Impact, Rating 2.0
Golden,13901,53.4,15842,0.88,69.2,5.4,852,22675,0.61,0.14,0.70,0.10,0.09,67.3,0.92,0.94
sycrone,8771,41.1,9749,0.90,70.4,4.3,553,14608,0.60,0.15,0.67,0.10,0.09,69.4,0.86,0.90
nkl,9990,42.9,11036,0.91,68.3,3.3,642,16554,0.60,0.15,0.67,0.10,0.07,70.6,0.87,0.90
hooch,14410,41.8,16212,0.89,70.9,4.4,894,23450,0.61,0.14,0.69,0.08,0.07,66.1,0.90,0.90
lunAtic,14199,38.7,15850,0.90,68.0,5.4,857,23286,0.61,0.13,0.68,0.10,0.09,68.2,0.90,0.90
FNS,15287,45.9,17081,0.89,68.0,4.1,953,25080,0.61,0.14,0.68,0.10,0.08,68.9,0.85,0.89
spiker,6837,42.7,7811,0.88,71.5,2.6,415,10974,0.62,0.14,0.71,0.08,0.08,65.6,0.96,0.89
JiNKZ,8657,53.5,9850,0.88,69.7,3.8,542,14411,0.60,0.15,0.68,0.11,0.09,69.9,0.94,0.97
MAiNLiNE,6904,51.7,7968,0.87,69.1,2.4,437,11092,0.62,0.14,0.72,0.11,0.09,67.0,1.00,0.89
pronax,18722,45.8,20989,0.89,64.7,4.0,1199,31403,0.60,0.14,0.67,0.09,0.08,65.9,0.86,0.89
Psycho,7689,52.0,8719,0.88,70.3,6.5,474,12656,0.61,0.15,0.69,0.10,0.09,68.3,0.89,0.95
Polen,7017,53.3,7995,0.88,69.8,4.3,435,11470,0.61,0.14,0.70,0.10,0.08,68.0,0.93,0.89
ScrunK,13995,46.7,16288,0.86,71.4,6.8,858,22827,0.61,0.14,0.71,0.10,0.08,66.4,0.95,0.89
Lambert,11962,37.1,13543,0.88,63.4,3.6,775,20411,0.59,0.11,0.66,0.09,0.08,67.7,0.84,0.88
LeX,7418,44.7,8680,0.85,71.1,4.0,462,11931,0.62,0.14,0.73,0.10,0.08,66.4,0.92,0.88
torben,8176,49.5,9372,0.87,66.2,3.7,532,13939,0.59,0.12,0.67,0.10,0.09,68.6,0.84,0.93
JD,6071,47.0,7176,0.85,71.2,5.0,374,9620,0.63,0.15,0.75,0.12,0.09,66.5,0.98,0.94
seang@res,10904,40.2,12533,0.87,67.4,4.8,713,18391,0.59,0.14,0.68,0.11,0.08,68.0,0.87,0.88
advent,14934,49.8,16899,0.88,62.2,4.4,1038,26635,0.56,0.13,0.63,0.11,0.10,71.6,0.76,0.87
flowsicK,6257,47.4,7304,0.86,73.6,3.7,395,10074,0.62,0.15,0.73,0.11,0.08,67.4,0.97,0.87
daps,15834,40.2,18188,0.87,66.7,4.4,1049,27412,0.58,0.14,0.66,0.10,0.07,69.7,0.82,0.87
BERRY,12946,38.0,15271,0.85,71.7,5.8,799,20911,0.62,0.15,0.73,0.10,0.08,65.5,0.98,0.87
birdfromsky,11304,42.2,13115,0.86,72.1,7.5,707,18940,0.60,0.17,0.69,0.14,0.09,69.9,0.97,0.98
nawrot,9751,47.1,11483,0.85,66.1,4.0,602,16159,0.60,0.12,0.71,0.10,0.09,66.5,0.91,0.92
HooXi,11187,49.9,13160,0.85,68.5,5.9,715,19101,0.59,0.13,0.69,0.09,0.08,66.8,0.88,0.87
